Driver	DateTimeStart	DateTimeEnd	Duration	Activity	Week	Day	DayType	Sequence	BreakType	Token	Legal	Cluster	ZenoInfo
driver1	2017-11-01 20:49:00	2017-11-01 20:50:00	1.0	Driving	2.0	10.0	none	none	uninterrupted	A	0	4	
driver1	2017-11-01 20:50:00	2017-11-01 20:52:00	2.0	Other	2.0	10.0	none	none	uninterrupted	A	0	4	
driver1	2017-11-01 20:52:00	2017-11-01 23:06:00	134.0	Driving	2.0	10.0	none	none	uninterrupted	A	0	4	
driver1	2017-11-01 23:06:00	2017-12-01 00:00:00	54.0	Break	2.0	10.0	none	none	uninterrupted	B_T1	0	4	
driver1	2017-12-01 00:00:00	2017-12-01 03:00:00	180.0	Driving	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:00:00	2017-12-01 03:02:00	2.0	Other	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:02:00	2017-12-01 03:03:00	1.0	Driving	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:03:00	2017-12-01 03:06:00	3.0	Other	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:06:00	2017-12-01 03:13:00	7.0	Driving	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:13:00	2017-12-01 03:17:00	4.0	Other	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:17:00	2017-12-01 06:30:00	193.0	Break	2.0	10.0	none	none	none	none	0	4	
driver1	2017-12-01 06:30:00	2017-12-01 06:33:00	3.0	Driving	2.0	10.0	ndd	unique	uninterrupted	A	1	4	
driver1	2017-12-01 06:33:00	2017-01-14 12:02:00	3209.0	Break	2.0	10.0	ndd	unique	uninterrupted	WR_T1	1	4	
driver6	2017-05-01 06:51:00	2017-05-01 07:07:00	16.0	Driving	1.0	3.0	none	none	none	A	0	4	
driver6	2017-05-01 07:07:00	2017-05-01 07:16:00	9.0	Break	1.0	3.0	none	none	none	B_T0	0	4	
driver6	2017-05-01 07:16:00	2017-05-01 07:21:00	5.0	Driving	1.0	3.0	none	none	none	A	0	4	
driver6	2017-05-01 07:21:00	2017-05-01 07:40:00	19.0	Break	1.0	3.0	none	none	none	none	0	4	
driver6	2017-05-01 07:40:00	2017-05-01 07:43:00	3.0	Driving	1.0	3.0	none	none	none	A	0	4	
driver6	2017-05-01 07:43:00	2017-05-01 07:46:00	3.0	Other	1.0	3.0	none	none	none	A	0	4	
driver6	2017-05-01 07:46:00	2017-05-01 07:47:00	1.0	Driving	1.0	3.0	none	none	none	A	0	4	
driver6	2017-05-01 07:47:00	2017-05-01 08:05:00	18.0	Break	1.0	3.0	none	none	none	none	0	4	
driver6	2017-05-01 08:05:00	2017-05-01 08:09:00	4.0	Other	1.0	3.0	edd	first	split_1	A	1	4	
driver6	2017-05-01 08:09:00	2017-05-01 08:10:00	1.0	Driving	1.0	3.0	edd	first	split_1	A	1	4	
driver6	2017-05-01 08:10:00	2017-05-01 08:16:00	6.0	Break	1.0	3.0	edd	first	split_1	B_T0	1	4	
driver6	2017-05-01 08:16:00	2017-05-01 08:17:00	1.0	Other	1.0	3.0	edd	first	split_1	A	1	4	
driver6	2017-05-01 08:17:00	2017-05-01 08:21:00	4.0	Break	1.0	3.0	edd	first	split_1	B_T0	1	4	
driver6	2017-05-01 08:21:00	2017-05-01 08:22:00	1.0	Driving	1.0	3.0	edd	first	split_1	A	1	4	
driver6	2017-05-01 08:22:00	2017-05-01 08:28:00	6.0	Break	1.0	3.0	edd	first	split_1	B_T0	1	4	
driver6	2017-05-01 08:28:00	2017-05-01 08:29:00	1.0	Other	1.0	3.0	edd	first	split_1	A	1	4	
driver6	2017-05-01 08:29:00	2017-05-01 09:26:00	57.0	Driving	1.0	3.0	edd	first	split_1	A	1	4	
driver6	2017-05-01 09:26:00	2017-05-01 09:42:00	16.0	Break	1.0	3.0	edd	first	split_1	B_T2	1	4	
driver6	2017-05-01 09:42:00	2017-05-01 12:15:00	153.0	Driving	1.0	3.0	edd	first	split_2	A	1	4	
driver6	2017-05-01 12:15:00	2017-05-01 12:18:00	3.0	Break	1.0	3.0	edd	first	split_2	B_T0	1	4	
driver6	2017-05-01 12:18:00	2017-05-01 12:20:00	2.0	Driving	1.0	3.0	edd	first	split_2	A	1	4	
driver6	2017-05-01 12:20:00	2017-05-01 12:32:00	12.0	Break	1.0	3.0	edd	first	split_2	B_T0	1	4	
driver6	2017-05-01 12:32:00	2017-05-01 12:36:00	4.0	Driving	1.0	3.0	edd	first	split_2	A	1	4	
driver6	2017-05-01 12:36:00	2017-05-01 13:44:00	68.0	Break	1.0	3.0	edd	first	split_2	B_T3	1	4	
