Driver	DateTimeStart	DateTimeEnd	Duration	Activity	Week	Day	DayType	Sequence	BreakType	Token	Legal	Cluster	ZenoInfo
driver1	2017-11-01 20:49:00	2017-11-01 20:50:00	1.0	Driving	2.0	10.0	none	none	uninterrupted	A	0	4	
driver1	2017-11-01 20:50:00	2017-11-01 20:52:00	2.0	Other	2.0	10.0	none	none	uninterrupted	A	0	4	
driver1	2017-11-01 20:52:00	2017-11-01 23:06:00	134.0	Driving	2.0	10.0	none	none	uninterrupted	A	0	4	
driver1	2017-11-01 23:06:00	2017-12-01 00:00:00	54.0	Break	2.0	10.0	none	none	uninterrupted	B_T1	0	4	
driver1	2017-12-01 00:00:00	2017-12-01 03:00:00	180.0	Driving	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:00:00	2017-12-01 03:02:00	2.0	Other	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:02:00	2017-12-01 03:03:00	1.0	Driving	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:03:00	2017-12-01 03:06:00	3.0	Other	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:06:00	2017-12-01 03:13:00	7.0	Driving	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:13:00	2017-12-01 03:17:00	4.0	Other	2.0	10.0	none	none	none	A	0	4	
driver1	2017-12-01 03:17:00	2017-12-01 06:30:00	193.0	Break	2.0	10.0	none	none	none	none	0	4	
driver1	2017-12-01 06:30:00	2017-12-01 06:33:00	3.0	Driving	2.0	10.0	ndd	unique	uninterrupted	A	1	4	
driver1	2017-12-01 06:33:00	2017-01-14 12:02:00	3209.0	Break	2.0	10.0	ndd	unique	uninterrupted	WR_T1	1	4	
driver2	2017-01-13 06:46:00	2017-01-13 07:09:00	23.0	Driving	1.0	6.0	none	none	uninterrupted	A	0	4	
driver2	2017-01-13 07:09:00	2017-01-13 07:59:00	50.0	Break	1.0	6.0	none	none	uninterrupted	B_T1	0	4	
driver2	2017-01-13 07:59:00	2017-01-13 08:02:00	3.0	Driving	1.0	6.0	none	none	none	A	0	4	
driver2	2017-01-13 08:02:00	2017-01-13 08:03:00	1.0	Other	1.0	6.0	none	none	none	A	0	4	
driver2	2017-01-13 08:03:00	2017-01-13 08:35:00	32.0	Break	1.0	6.0	none	none	none	none	0	4	
driver2	2017-01-13 08:35:00	2017-01-13 08:45:00	10.0	Other	1.0	6.0	none	none	split_1	A	0	4	
driver2	2017-01-13 08:45:00	2017-01-13 09:47:00	62.0	Driving	1.0	6.0	none	none	split_1	A	0	4	
driver2	2017-01-13 09:47:00	2017-01-13 10:16:00	29.0	Break	1.0	6.0	none	none	split_1	B_T2	0	4	
driver2	2017-01-13 10:16:00	2017-01-13 12:46:00	150.0	Driving	1.0	6.0	none	none	split_2	A	0	4	
driver2	2017-01-13 12:46:00	2017-01-13 12:47:00	1.0	Break	1.0	6.0	none	none	split_2	B_T0	0	4	
driver2	2017-01-13 12:47:00	2017-01-13 12:52:00	5.0	Idle	1.0	6.0	none	none	split_2	I	0	4	
driver2	2017-01-13 12:52:00	2017-01-13 12:53:00	1.0	Driving	1.0	6.0	none	none	split_2	A	0	4	
driver2	2017-01-13 12:53:00	2017-01-13 13:23:00	30.0	Break	1.0	6.0	none	none	split_2	B_T3	0	4	
driver2	2017-01-13 13:23:00	2017-01-13 13:24:00	1.0	Driving	1.0	6.0	none	none	split_1	A	0	4	
driver2	2017-01-13 13:24:00	2017-01-13 13:39:00	15.0	Break	1.0	6.0	none	none	split_1	B_T2	0	4	
driver2	2017-01-13 13:39:00	2017-01-13 13:40:00	1.0	Driving	1.0	6.0	none	none	split_2	A	0	4	
driver2	2017-01-13 13:40:00	2017-01-13 13:42:00	2.0	Other	1.0	6.0	none	none	split_2	A	0	4	
driver2	2017-01-13 13:42:00	2017-01-13 13:45:00	3.0	Break	1.0	6.0	none	none	split_2	B_T0	0	4	
driver2	2017-01-13 13:45:00	2017-01-13 13:46:00	1.0	Driving	1.0	6.0	none	none	split_2	A	0	4	
driver2	2017-01-13 13:46:00	2017-01-13 13:54:00	8.0	Other	1.0	6.0	none	none	split_2	A	0	4	
driver2	2017-01-13 13:54:00	2017-01-13 14:03:00	9.0	Break	1.0	6.0	none	none	split_2	B_T0	0	4	
driver2	2017-01-13 14:03:00	2017-01-13 14:06:00	3.0	Driving	1.0	6.0	none	none	split_2	A	0	4	
driver2	2017-01-13 14:06:00	2017-01-13 14:26:00	20.0	Other	1.0	6.0	none	none	split_2	A	0	4	
driver2	2017-01-13 14:26:00	2017-01-13 14:28:00	2.0	Driving	1.0	6.0	none	none	split_2	A	0	4	
