Activity	DayType	Sequence	BreakType	Token	Legal	Cluster
Driving	none	none	none	A	0	0.0
Other	none	none	none	A	0	0.0
Break	none	none	none	B_T0	0	0.0
Driving	none	none	none	A	0	0.0
Other	none	none	none	A	0	0.0
Driving	none	none	none	A	0	0.0
Break	none	none	none	none	0	0.0
Break	ndd	unique	split_1	B_T2	1	0.0
Driving	ndd	unique	split_2	A	1	0.0
Break	ndd	unique	split_2	DR_T4	1	0.0
Driving	ndd	first	uninterrupted	A	1	1.0
Other	ndd	first	uninterrupted	A	1	1.0
Driving	ndd	first	uninterrupted	A	1	1.0
Other	ndd	first	uninterrupted	A	1	1.0
Driving	ndd	first	uninterrupted	A	1	1.0
Other	ndd	first	uninterrupted	A	1	1.0
Driving	ndd	first	uninterrupted	A	1	1.0
Other	ndd	first	uninterrupted	A	1	1.0
Sug-Break	ndd	first	uninterrupted	B_T1	1	1.0
Sug-Break	ndd	second	uninterrupted	WR_T1	1	1.0
Other	ndd	unique	uninterrupted	A	1	2.0
Driving	ndd	unique	uninterrupted	A	1	2.0
Other	ndd	unique	uninterrupted	A	1	2.0
Driving	ndd	unique	uninterrupted	A	1	2.0
Other	ndd	unique	uninterrupted	A	1	2.0
Driving	ndd	unique	uninterrupted	A	1	2.0
Break	ndd	unique	uninterrupted	DR_T2	1	2.0
Break	edd	first	split_1	B_T0	1	3.0
Other	edd	first	split_1	A	1	3.0
Driving	edd	first	split_1	A	1	3.0
Break	edd	first	split_1	B_T2	1	3.0
Driving	edd	first	split_2	A	1	3.0
Other	edd	first	split_2	A	1	3.0
Driving	edd	first	split_2	A	1	3.0
Break	edd	first	split_2	B_T0	1	3.0
Other	edd	first	split_2	A	1	3.0
Driving	edd	first	split_2	A	1	3.0
Break	edd	first	split_2	B_T3	1	3.0
Other	edd	second	uninterrupted	A	1	3.0
Driving	edd	second	uninterrupted	A	1	3.0
Break	edd	second	uninterrupted	B_T0	1	3.0
Other	edd	second	uninterrupted	A	1	3.0
Driving	edd	second	uninterrupted	A	1	3.0
Other	edd	second	uninterrupted	A	1	3.0
Driving	edd	second	uninterrupted	A	1	3.0
Other	edd	second	uninterrupted	A	1	3.0
Driving	edd	second	uninterrupted	A	1	3.0
Break	edd	second	uninterrupted	B_T1	1	3.0
Driving	edd	third	split_1	A	1	3.0
Other	edd	third	split_1	A	1	3.0
Driving	edd	third	split_1	A	1	3.0
Other	edd	third	split_1	A	1	3.0
Break	edd	third	split_1	B_T0	1	3.0
Other	edd	third	split_1	A	1	3.0
Break	edd	third	split_1	B_T0	1	3.0
Driving	edd	third	split_1	A	1	3.0
Break	edd	third	split_1	B_T2	1	3.0
Driving	edd	third	split_2	A	1	3.0
Break	edd	third	split_2	B_T0	1	3.0
Other	edd	third	split_2	A	1	3.0
Driving	edd	third	split_2	A	1	3.0
Other	edd	third	split_2	A	1	3.0
Driving	edd	third	split_2	A	1	3.0
Other	edd	third	split_2	A	1	3.0
Break	edd	third	split_2	DR_T1	1	3.0
Driving	ndd	first	uninterrupted	A	1	4.0
Other	ndd	first	uninterrupted	A	1	4.0
Break	ndd	first	uninterrupted	B_T1	1	4.0
Driving	ndd	second	uninterrupted	A	1	4.0
Break	ndd	second	uninterrupted	DR_T2	1	4.0
Driving	edd	first	uninterrupted	A	1	5.0
Break	edd	first	uninterrupted	B_T1	1	5.0
Driving	edd	second	uninterrupted	A	1	5.0
Break	edd	second	uninterrupted	B_T1	1	5.0
Driving	edd	third	uninterrupted	A	1	5.0
Break	edd	third	uninterrupted	DR_T2	1	5.0
Driving	ndd	first	split_1	A	1	6.0
Other	ndd	first	split_1	A	1	6.0
Driving	ndd	first	split_1	A	1	6.0
Break	ndd	first	split_1	B_T0	1	6.0
Driving	ndd	first	split_1	A	1	6.0
Break	ndd	first	split_1	B_T0	1	6.0
Driving	ndd	first	split_1	A	1	6.0
Other	ndd	first	split_1	A	1	6.0
Break	ndd	first	split_1	B_T2	1	6.0
Other	ndd	first	split_2	A	1	6.0
Driving	ndd	first	split_2	A	1	6.0
Other	ndd	first	split_2	A	1	6.0
Driving	ndd	first	split_2	A	1	6.0
Break	ndd	first	split_2	B_T0	1	6.0
Driving	ndd	first	split_2	A	1	6.0
Other	ndd	first	split_2	A	1	6.0
Driving	ndd	first	split_2	A	1	6.0
Break	ndd	first	split_2	B_T3	1	6.0
Other	ndd	second	split_1	A	1	6.0
Driving	ndd	second	split_1	A	1	6.0
Idle	ndd	second	split_1	I	1	6.0
Other	ndd	second	split_1	A	1	6.0
Driving	ndd	second	split_1	A	1	6.0
Break	ndd	second	split_1	B_T0	1	6.0
Idle	ndd	second	split_1	I	1	6.0
Break	ndd	second	split_1	B_T0	1	6.0
Idle	ndd	second	split_1	I	1	6.0
Break	ndd	second	split_1	B_T2	1	6.0
Idle	ndd	second	split_2	I	1	6.0
Other	ndd	second	split_2	A	1	6.0
Driving	ndd	second	split_2	A	1	6.0
Other	ndd	second	split_2	A	1	6.0
Driving	ndd	second	split_2	A	1	6.0
Break	ndd	second	split_2	DR_T2	1	6.0
Other	ndd	first	uninterrupted	A	1	7.0
Driving	ndd	first	uninterrupted	A	1	7.0
Other	ndd	first	uninterrupted	A	1	7.0
Driving	ndd	first	uninterrupted	A	1	7.0
Break	ndd	first	uninterrupted	B_T1	1	7.0
Driving	ndd	second	split_1	A	1	7.0
Break	ndd	second	split_1	B_T2	1	7.0
Driving	ndd	second	split_2	A	1	7.0
Break	ndd	second	split_2	DR_T1	1	7.0
Driving	none	none	uninterrupted	A	0	8.0
Break	none	none	uninterrupted	B_T1	0	8.0
Driving	none	none	none	A	0	8.0
Other	none	none	none	A	0	8.0
Driving	none	none	none	A	0	8.0
Break	none	none	none	none	0	8.0
Driving	ndd	unique	split_1	A	1	8.0
Break	ndd	unique	split_1	B_T0	1	8.0
Other	ndd	unique	split_1	A	1	8.0
Driving	ndd	unique	split_1	A	1	8.0
Other	ndd	unique	split_1	A	1	8.0
Driving	ndd	unique	split_1	A	1	8.0
Break	ndd	unique	split_1	B_T0	1	8.0
Other	ndd	unique	split_1	A	1	8.0
Driving	ndd	unique	split_1	A	1	8.0
Break	ndd	unique	split_1	B_T2	1	8.0
Driving	ndd	unique	split_2	A	1	8.0
Other	ndd	unique	split_2	A	1	8.0
Driving	ndd	unique	split_2	A	1	8.0
Break	ndd	unique	split_2	B_T0	1	8.0
Driving	ndd	unique	split_2	A	1	8.0
Break	ndd	unique	split_2	WR_T1	1	8.0
Driving	ndd	first	split_1	A	1	9.0
Break	ndd	first	split_1	B_T2	1	9.0
Driving	ndd	first	split_2	A	1	9.0
Break	ndd	first	split_2	B_T3	1	9.0
Driving	ndd	second	uninterrupted	A	1	9.0
Other	ndd	second	uninterrupted	A	1	9.0
Break	ndd	second	uninterrupted	DR_T1	1	9.0
Driving	edd	first	split_1	A	1	10.0
Break	edd	first	split_1	B_T2	1	10.0
Driving	edd	first	split_2	A	1	10.0
Break	edd	first	split_2	B_T3	1	10.0
Driving	edd	second	uninterrupted	A	1	10.0
Break	edd	second	uninterrupted	B_T1	1	10.0
Driving	edd	third	uninterrupted	A	1	10.0
Break	edd	third	uninterrupted	DR_T1	1	10.0
Break	ndd	unique	split_1	B_T0	1	11.0
Driving	ndd	unique	split_1	A	1	11.0
Break	ndd	unique	split_1	B_T2	1	11.0
Driving	ndd	unique	split_2	A	1	11.0
Break	ndd	unique	split_2	DR_T3	1	11.0
Driving	ndd	first	split_1	A	1	12.0
Break	ndd	first	split_1	B_T2	1	12.0
