Driver	DateTimeStart	DateTimeEnd	Duration	Activity	Week	Day	DayType	Sequence	BreakType	Token	Legal	Cluster	ZenoInfo
driver1	2017-02-01 17:59:00	2017-02-01 18:13:00	14.0	Break	1.0	1.0	ndd	first	split_1	B_T0	1	24	
driver1	2017-02-01 18:13:00	2017-02-01 18:16:00	3.0	Driving	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 18:16:00	2017-02-01 18:18:00	2.0	Other	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 18:18:00	2017-02-01 18:20:00	2.0	Driving	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 18:20:00	2017-02-01 18:43:00	23.0	Other	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 18:43:00	2017-02-01 18:45:00	2.0	Driving	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 18:45:00	2017-02-01 18:47:00	2.0	Break	1.0	1.0	ndd	first	split_1	B_T0	1	24	
driver1	2017-02-01 18:47:00	2017-02-01 19:12:00	25.0	Driving	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 19:12:00	2017-02-01 19:42:00	30.0	Break	1.0	1.0	ndd	first	split_1	B_T2	1	24	
driver1	2017-02-01 19:42:00	2017-02-01 21:35:00	113.0	Driving	1.0	1.0	ndd	first	split_2	A	1	24	
driver1	2017-02-01 21:35:00	2017-02-01 22:34:00	59.0	Break	1.0	1.0	ndd	first	split_2	B_T3	1	24	
driver1	2017-02-01 22:34:00	2017-03-01 00:56:00	142.0	Driving	1.0	1.0	ndd	second	uninterrupted	A	1	24	
driver1	2017-03-01 00:56:00	2017-03-01 00:59:00	3.0	Other	1.0	1.0	ndd	second	uninterrupted	A	1	24	
driver1	2017-03-01 00:59:00	2017-03-01 01:00:00	1.0	Driving	1.0	1.0	ndd	second	uninterrupted	A	1	24	
driver1	2017-03-01 01:00:00	2017-03-01 01:02:00	2.0	Other	1.0	1.0	ndd	second	uninterrupted	A	1	24	
driver1	2017-03-01 01:02:00	2017-03-01 01:05:00	3.0	Driving	1.0	1.0	ndd	second	uninterrupted	A	1	24	
driver1	2017-03-01 01:05:00	2017-03-01 16:20:00	915.0	Break	1.0	1.0	ndd	second	uninterrupted	DR_T1	1	24	
driver10	2017-12-01 04:33:00	2017-12-01 04:35:00	2.0	Driving	1.0	8.0	ndd	first	split_1	A	1	24	
driver10	2017-12-01 04:35:00	2017-12-01 04:43:00	8.0	Break	1.0	8.0	ndd	first	split_1	B_T0	1	24	
driver10	2017-12-01 04:43:00	2017-12-01 04:53:00	10.0	Other	1.0	8.0	ndd	first	split_1	A	1	24	
driver10	2017-12-01 04:53:00	2017-12-01 04:54:00	1.0	Driving	1.0	8.0	ndd	first	split_1	A	1	24	
driver10	2017-12-01 04:54:00	2017-12-01 04:59:00	5.0	Break	1.0	8.0	ndd	first	split_1	B_T0	1	24	
driver10	2017-12-01 04:59:00	2017-12-01 05:00:00	1.0	Driving	1.0	8.0	ndd	first	split_1	A	1	24	
driver10	2017-12-01 05:00:00	2017-12-01 05:05:00	5.0	Other	1.0	8.0	ndd	first	split_1	A	1	24	
driver10	2017-12-01 05:05:00	2017-12-01 05:25:00	20.0	Break	1.0	8.0	ndd	first	split_1	B_T2	1	24	
driver10	2017-12-01 05:25:00	2017-12-01 05:29:00	4.0	Driving	1.0	8.0	ndd	first	split_2	A	1	24	
driver10	2017-12-01 05:29:00	2017-12-01 07:38:00	129.0	Break	1.0	8.0	ndd	first	split_2	B_T3	1	24	
driver10	2017-12-01 07:38:00	2017-12-01 07:40:00	2.0	Driving	1.0	8.0	ndd	second	split_1	A	1	24	
driver10	2017-12-01 07:40:00	2017-12-01 07:55:00	15.0	Break	1.0	8.0	ndd	second	split_1	B_T2	1	24	
driver10	2017-12-01 07:55:00	2017-12-01 07:59:00	4.0	Driving	1.0	8.0	ndd	second	split_2	A	1	24	
driver10	2017-12-01 07:59:00	2017-12-01 12:09:00	250.0	Break	1.0	8.0	ndd	second	split_2	DR_T3	1	24	
driver12	2017-01-14 07:16:00	2017-01-14 08:42:00	86.0	Driving	2.0	10.0	ndd	first	split_1	A	1	24	
driver12	2017-01-14 08:42:00	2017-01-14 09:02:00	20.0	Break	2.0	10.0	ndd	first	split_1	B_T2	1	24	
driver12	2017-01-14 09:02:00	2017-01-14 11:25:00	143.0	Driving	2.0	10.0	ndd	first	split_2	A	1	24	
driver12	2017-01-14 11:25:00	2017-01-14 11:57:00	32.0	Break	2.0	10.0	ndd	first	split_2	B_T3	1	24	
driver12	2017-01-14 11:57:00	2017-01-14 13:29:00	92.0	Driving	2.0	10.0	ndd	second	uninterrupted	A	1	24	
driver12	2017-01-14 13:29:00	2017-01-14 13:31:00	2.0	Other	2.0	10.0	ndd	second	uninterrupted	A	1	24	
driver12	2017-01-14 13:31:00	2017-01-14 13:35:00	4.0	Driving	2.0	10.0	ndd	second	uninterrupted	A	1	24	
driver12	2017-01-14 13:35:00	2017-01-14 17:48:00	253.0	Break	2.0	10.0	ndd	second	uninterrupted	DR_T3	1	24	
driver17	2017-12-01 04:12:00	2017-12-01 04:13:00	1.0	Other	2.0	9.0	ndd	first	split_1	A	1	24	
driver17	2017-12-01 04:13:00	2017-12-01 04:26:00	13.0	Driving	2.0	9.0	ndd	first	split_1	A	1	24	
driver17	2017-12-01 04:26:00	2017-12-01 04:28:00	2.0	Other	2.0	9.0	ndd	first	split_1	A	1	24	
driver17	2017-12-01 04:28:00	2017-12-01 04:31:00	3.0	Driving	2.0	9.0	ndd	first	split_1	A	1	24	
driver17	2017-12-01 04:31:00	2017-12-01 04:33:00	2.0	Other	2.0	9.0	ndd	first	split_1	A	1	24	
driver17	2017-12-01 04:33:00	2017-12-01 04:39:00	6.0	Break	2.0	9.0	ndd	first	split_1	B_T0	1	24	
driver17	2017-12-01 04:39:00	2017-12-01 04:40:00	1.0	Driving	2.0	9.0	ndd	first	split_1	A	1	24	
driver17	2017-12-01 04:40:00	2017-12-01 04:47:00	7.0	Other	2.0	9.0	ndd	first	split_1	A	1	24	
driver17	2017-12-01 04:47:00	2017-12-01 04:53:00	6.0	Break	2.0	9.0	ndd	first	split_1	B_T0	1	24	
driver17	2017-12-01 04:53:00	2017-12-01 04:56:00	3.0	Driving	2.0	9.0	ndd	first	split_1	A	1	24	
driver17	2017-12-01 04:56:00	2017-12-01 05:28:00	32.0	Break	2.0	9.0	ndd	first	split_1	B_T2	1	24	
driver17	2017-12-01 05:28:00	2017-12-01 05:31:00	3.0	Driving	2.0	9.0	ndd	first	split_2	A	1	24	
driver17	2017-12-01 05:31:00	2017-12-01 05:34:00	3.0	Break	2.0	9.0	ndd	first	split_2	B_T0	1	24	
driver17	2017-12-01 05:34:00	2017-12-01 05:38:00	4.0	Driving	2.0	9.0	ndd	first	split_2	A	1	24	
driver17	2017-12-01 05:38:00	2017-12-01 05:41:00	3.0	Other	2.0	9.0	ndd	first	split_2	A	1	24	
driver17	2017-12-01 05:41:00	2017-12-01 05:54:00	13.0	Driving	2.0	9.0	ndd	first	split_2	A	1	24	
driver17	2017-12-01 05:54:00	2017-12-01 07:03:00	69.0	Break	2.0	9.0	ndd	first	split_2	B_T3	1	24	
driver17	2017-12-01 07:03:00	2017-12-01 07:04:00	1.0	Other	2.0	9.0	ndd	second	uninterrupted	A	1	24	
