Driver	DateTimeStart	DateTimeEnd	Duration	Activity	Week	Day	DayType	Sequence	BreakType	Token	Legal	Cluster	ZenoInfo
driver1	2017-02-01 17:59:00	2017-02-01 18:13:00	14.0	Break	1.0	1.0	ndd	first	split_1	B_T0	1	24	
driver1	2017-02-01 18:13:00	2017-02-01 18:16:00	3.0	Driving	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 18:16:00	2017-02-01 18:18:00	2.0	Other	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 18:18:00	2017-02-01 18:20:00	2.0	Driving	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 18:20:00	2017-02-01 18:43:00	23.0	Other	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 18:43:00	2017-02-01 18:45:00	2.0	Driving	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 18:45:00	2017-02-01 18:47:00	2.0	Break	1.0	1.0	ndd	first	split_1	B_T0	1	24	
driver1	2017-02-01 18:47:00	2017-02-01 19:12:00	25.0	Driving	1.0	1.0	ndd	first	split_1	A	1	24	
driver1	2017-02-01 19:12:00	2017-02-01 19:42:00	30.0	Break	1.0	1.0	ndd	first	split_1	B_T2	1	24	
driver1	2017-02-01 19:42:00	2017-02-01 21:35:00	113.0	Driving	1.0	1.0	ndd	first	split_2	A	1	24	
driver1	2017-02-01 21:35:00	2017-02-01 22:34:00	59.0	Break	1.0	1.0	ndd	first	split_2	B_T3	1	24	
driver1	2017-02-01 22:34:00	2017-03-01 00:56:00	142.0	Driving	1.0	1.0	ndd	second	uninterrupted	A	1	24	
driver1	2017-03-01 00:56:00	2017-03-01 00:59:00	3.0	Other	1.0	1.0	ndd	second	uninterrupted	A	1	24	
driver1	2017-03-01 00:59:00	2017-03-01 01:00:00	1.0	Driving	1.0	1.0	ndd	second	uninterrupted	A	1	24	
driver1	2017-03-01 01:00:00	2017-03-01 01:02:00	2.0	Other	1.0	1.0	ndd	second	uninterrupted	A	1	24	
driver1	2017-03-01 01:02:00	2017-03-01 01:05:00	3.0	Driving	1.0	1.0	ndd	second	uninterrupted	A	1	24	
driver1	2017-03-01 01:05:00	2017-03-01 16:20:00	915.0	Break	1.0	1.0	ndd	second	uninterrupted	DR_T1	1	24	
driver1	2017-03-01 16:20:00	2017-03-01 18:39:00	139.0	Driving	1.0	2.0	ndd	unique	uninterrupted	A	1	19	
driver1	2017-03-01 18:39:00	2017-03-01 18:40:00	1.0	Other	1.0	2.0	ndd	unique	uninterrupted	A	1	19	
driver1	2017-03-01 18:40:00	2017-04-01 09:25:00	885.0	Break	1.0	2.0	ndd	unique	uninterrupted	DR_T1	1	19	
driver1	2017-04-01 09:25:00	2017-04-01 09:29:00	4.0	Driving	1.0	3.0	edd	first	split_1	A	1	4	
driver1	2017-04-01 09:29:00	2017-04-01 09:47:00	18.0	Break	1.0	3.0	edd	first	split_1	B_T2	1	4	
driver1	2017-04-01 09:47:00	2017-04-01 09:50:00	3.0	Driving	1.0	3.0	edd	first	split_2	A	1	4	
driver1	2017-04-01 09:50:00	2017-04-01 09:54:00	4.0	Other	1.0	3.0	edd	first	split_2	A	1	4	
driver1	2017-04-01 09:54:00	2017-04-01 11:07:00	73.0	Break	1.0	3.0	edd	first	split_2	B_T3	1	4	
driver1	2017-04-01 11:07:00	2017-04-01 15:22:00	255.0	Driving	1.0	3.0	edd	second	split_1	A	1	4	
driver1	2017-04-01 15:22:00	2017-04-01 15:47:00	25.0	Break	1.0	3.0	edd	second	split_1	B_T2	1	4	
driver1	2017-04-01 15:47:00	2017-04-01 15:50:00	3.0	Driving	1.0	3.0	edd	second	split_2	A	1	4	
driver1	2017-04-01 15:50:00	2017-04-01 16:49:00	59.0	Break	1.0	3.0	edd	second	split_2	B_T3	1	4	
driver1	2017-04-01 16:49:00	2017-04-01 21:11:00	262.0	Driving	1.0	3.0	edd	third	uninterrupted	A	1	4	
driver1	2017-04-01 21:11:00	2017-04-01 21:13:00	2.0	Other	1.0	3.0	edd	third	uninterrupted	A	1	4	
driver1	2017-04-01 21:13:00	2017-05-01 06:21:00	548.0	Break	1.0	3.0	edd	third	uninterrupted	DR_T2	1	4	
driver1	2017-05-01 06:21:00	2017-05-01 07:43:00	82.0	Driving	1.0	4.0	edd	first	split_1	A	1	20	
driver1	2017-05-01 07:43:00	2017-05-01 08:02:00	19.0	Break	1.0	4.0	edd	first	split_1	B_T2	1	20	
driver1	2017-05-01 08:02:00	2017-05-01 11:10:00	188.0	Driving	1.0	4.0	edd	first	split_2	A	1	20	
driver1	2017-05-01 11:10:00	2017-05-01 11:59:00	49.0	Break	1.0	4.0	edd	first	split_2	B_T3	1	20	
driver1	2017-05-01 11:59:00	2017-05-01 14:54:00	175.0	Driving	1.0	4.0	edd	second	uninterrupted	A	1	20	
driver1	2017-05-01 14:54:00	2017-05-01 15:44:00	50.0	Break	1.0	4.0	edd	second	uninterrupted	B_T1	1	20	
driver1	2017-05-01 15:44:00	2017-05-01 15:46:00	2.0	Driving	1.0	4.0	edd	third	split_1	A	1	20	
driver1	2017-05-01 15:46:00	2017-05-01 16:54:00	68.0	Break	1.0	4.0	edd	third	split_1	B_T2	1	20	
driver1	2017-05-01 16:54:00	2017-05-01 17:35:00	41.0	Driving	1.0	4.0	edd	third	split_2	A	1	20	
driver1	2017-05-01 17:35:00	2017-05-01 17:41:00	6.0	Break	1.0	4.0	edd	third	split_2	B_T0	1	20	
driver1	2017-05-01 17:41:00	2017-05-01 18:29:00	48.0	Driving	1.0	4.0	edd	third	split_2	A	1	20	
driver1	2017-05-01 18:29:00	2017-05-01 18:39:00	10.0	Break	1.0	4.0	edd	third	split_2	B_T0	1	20	
driver1	2017-05-01 18:39:00	2017-05-01 18:45:00	6.0	Driving	1.0	4.0	edd	third	split_2	A	1	20	
driver1	2017-05-01 18:45:00	2017-05-01 18:56:00	11.0	Break	1.0	4.0	edd	third	split_2	B_T0	1	20	
driver1	2017-05-01 18:56:00	2017-05-01 19:02:00	6.0	Driving	1.0	4.0	edd	third	split_2	A	1	20	
driver1	2017-05-01 19:02:00	2017-06-01 07:36:00	754.0	Break	1.0	4.0	edd	third	split_2	DR_T1	1	20	
driver1	2017-06-01 07:36:00	2017-06-01 07:38:00	2.0	Driving	1.0	5.0	ndd	first	split_1	A	1	2	
driver1	2017-06-01 07:38:00	2017-06-01 07:44:00	6.0	Other	1.0	5.0	ndd	first	split_1	A	1	2	
driver1	2017-06-01 07:44:00	2017-06-01 07:59:00	15.0	Break	1.0	5.0	ndd	first	split_1	B_T2	1	2	
driver1	2017-06-01 07:59:00	2017-06-01 08:00:00	1.0	Driving	1.0	5.0	ndd	first	split_2	A	1	2	
driver1	2017-06-01 08:00:00	2017-06-01 08:07:00	7.0	Break	1.0	5.0	ndd	first	split_2	B_T0	1	2	
driver1	2017-06-01 08:07:00	2017-06-01 08:08:00	1.0	Other	1.0	5.0	ndd	first	split_2	A	1	2	
driver1	2017-06-01 08:08:00	2017-06-01 12:26:00	258.0	Driving	1.0	5.0	ndd	first	split_2	A	1	2	
driver1	2017-06-01 12:26:00	2017-06-01 13:14:00	48.0	Break	1.0	5.0	ndd	first	split_2	B_T3	1	2	
driver1	2017-06-01 13:14:00	2017-06-01 14:04:00	50.0	Driving	1.0	5.0	ndd	second	uninterrupted	A	1	2	
