Driver	Day	Topic list
driver1	1	[2, 5]
driver1	2	[0, 2, 3, 4, 5, 8, 9, 12, 13, 14]
driver1	3	[11]
driver1	4	[4]
driver1	5	[2]
driver1	6	[9]
driver1	7	[2, 5]
driver1	8	[0, 2, 5, 14]
driver1	9	[2, 3, 12]
driver1	10	[0, 6, 12]
driver1	11	[2, 8, 12]
driver1	12	[1, 4, 15]
driver2	1	[11, 14]
driver2	2	[9]
driver2	3	[7, 12]
driver2	4	[2, 13]
driver2	5	[0, 13]
driver2	6	[0, 3, 14]
driver3	1	[12]
driver3	2	[11]
driver3	3	[2, 13]
driver3	4	[0, 4, 10]
driver3	5	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver3	6	[0, 11, 15]
driver3	7	[4, 10]
driver3	8	[0, 2, 5]
driver3	9	[2, 13]
driver3	10	[2, 3, 12]
driver3	11	[0, 2, 3, 4, 5, 7, 8, 9, 12, 13, 14]
driver4	1	[2, 13]
driver4	2	[3]
driver4	3	[12]
driver4	4	[2, 5]
driver4	5	[5, 8]
driver4	6	[13, 14]
driver4	7	[1]
driver4	8	[2, 13]
driver4	9	[2, 7, 12]
driver4	10	[6, 12]
driver4	11	[9]
driver4	12	[0, 1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver4	13	[9]
driver4	14	[2, 8]
driver4	15	[4]
driver5	1	[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]
driver5	2	[2, 5]
driver5	3	[12]
driver5	4	[2, 5, 8, 12]
driver5	5	[0, 3]
driver5	6	[1]
driver5	7	[10, 11]
driver5	8	[2, 13]
driver5	9	[1, 4, 15]
driver5	10	[2, 13]
driver5	11	[9]
driver5	12	[11]
driver5	13	[15]
driver6	1	[2, 12]
driver6	2	[0, 2, 5, 14]
driver6	3	[4, 10, 14]
driver6	4	[2, 13]
driver6	5	[4, 11]
driver6	6	[9]
