Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd,MilometerStart,MilometerEnd
driver1,lun 2/01/17,17:59,18:13,0h 14m,0.028143654992052212,Pausa,1,9359JSNMI6186H01502,"28914, Leganés, ES","28914, Leganés, ES",40.327719,-3.784834,40.327719,-3.784502,"31,512","31,512"
driver1,lun 2/01/17,18:13,18:16,0h 03m,0.12486589356005517,Conduciendo,1,9359JSNMI6186H01502,"28914, Leganés, ES","28914, Leganés, ES",40.327926,-3.784502,40.327926,-3.785975,"31,512","31,513"
driver1,lun 2/01/17,18:16,18:18,0h 02m,0.0005086090048719514,Otro trabajo,1,9359JSNMI6186H01502,"28914, Leganés, ES","28914, Leganés, ES",40.329214,-3.785975,40.329214,-3.785981,"31,513","31,513"
driver1,lun 2/01/17,18:18,18:20,0h 02m,0.23023204508043368,Conduciendo,1,9359JSNMI6186H01502,"28914, Leganés, ES","28914, Leganés, ES",40.328715,-3.785981,40.328715,-3.788697,"31,513","31,513"
driver1,lun 2/01/17,18:20,18:43,0h 23m,0.0016106093571328956,Otro trabajo,1,9359JSNMI6186H01502,"28914, Leganés, ES","28914, Leganés, ES",40.32862,-3.788697,40.32862,-3.788678,"31,513","31,513"
driver1,lun 2/01/17,18:43,18:45,0h 02m,0.32907372679870606,Conduciendo,1,9359JSNMI6186H01502,"28914, Leganés, ES","28914, Leganés, ES",40.328455,-3.788678,40.328455,-3.784796,"31,513","31,514"
driver1,lun 2/01/17,18:45,18:47,0h 02m,0.002119257471459997,Pausa,1,9359JSNMI6186H01502,"28914, Leganés, ES","28914, Leganés, ES",40.327517,-3.784796,40.327517,-3.784771,"31,514","31,514"
driver1,lun 2/01/17,18:47,19:12,0h 25m,16.609805674836,Conduciendo,1,9359JSNMI6186H01502,"28914, Leganés, ES","Autovía M50, 28051, Madrid, ES",40.327511,-3.784771,40.327511,-3.588832,"31,514","31,540"
driver1,lun 2/01/17,19:12,19:42,0h 30m,0.0016102467179676695,Pausa,1,9359JSNMI6186H01502,"Autovía M50, 28051, Madrid, ES","Autovía M50, 28051, Madrid, ES",40.343814,-3.588832,40.343814,-3.588851,"31,540","31,540"
driver1,lun 2/01/17,19:42,21:35,1h 53m,110.91600964320665,Conduciendo,1,9359JSNMI6186H01502,"Autovía M50, 28051, Madrid, ES","A3/E901 Autovía Del Este, 16720, ES, 54,3 km sur Cuenca",40.343862,-3.588851,40.343862,-2.280092,"31,540","31,697"
driver1,lun 2/01/17,21:35,22:34,0h 59m,0.009596421845091633,Pausa,1,9359JSNMI6186H01502,"A3/E901 Autovía Del Este, 16720, ES, 54,3 km sur Cuenca","A3/E901 Autovía Del Este, 16720, ES, 54,3 km sur Cuenca",39.595817,-2.280092,39.595817,-2.280204,"31,697","31,697"
driver1,lun 2/01/17,22:34,00:56,2h 22m,152.5705216151065,Conduciendo,1,9359JSNMI6186H01502,"A3/E901 Autovía Del Este, 16720, ES, 54,3 km sur Cuenca","46250, ES, 30,8 km sur Valencia",39.595886,-2.280204,39.595886,-0.49952,"31,697","31,905"
driver1,mar 3/01/17,00:56,00:59,0h 03m,0.01723160713451238,Otro trabajo,1,9359JSNMI6186H01502,"46250, ES, 30,8 km sur Valencia","46250, ES, 30,8 km sur Valencia",39.209668,-0.49952,39.209668,-0.49972,"31,905","31,905"
driver1,mar 3/01/17,00:59,01:00,0h 01m,0.026795139555446768,Conduciendo,1,9359JSNMI6186H01502,"46250, ES, 30,8 km sur Valencia","46250, ES, 30,8 km sur Valencia",39.209693,-0.49972,39.209693,-0.500031,"31,905","31,905"
driver1,mar 3/01/17,01:00,01:02,0h 02m,0.00577259077382412,Otro trabajo,1,9359JSNMI6186H01502,"46250, ES, 30,8 km sur Valencia","46250, ES, 30,8 km sur Valencia",39.209639,-0.500031,39.209639,-0.500098,"31,905","31,905"
driver1,mar 3/01/17,01:02,01:05,0h 03m,0.03179230067658831,Conduciendo,1,9359JSNMI6186H01502,"46250, ES, 30,8 km sur Valencia","46250, ES, 30,8 km sur Valencia",39.2097,-0.500098,39.2097,-0.499729,"31,905","31,905"
driver1,mar 3/01/17,01:05,16:20,15h 15m,0.012492959111831238,Pausa,1,9359JSNMI6186H01502,"46250, ES, 30,8 km sur Valencia","46250, ES, 30,8 km sur Valencia",39.209421,-0.499729,39.209421,-0.499584,"31,905","31,906"
driver1,mar 3/01/17,16:20,18:39,2h 19m,8.215170662133078,Conduciendo,1,9359JSNMI6186H01502,"46250, ES, 30,8 km sur Valencia","12580, ES, 60,5 km nordeste Castellón De La Plana",39.209648,-0.499584,39.209648,-0.404234,"31,906","32,097"
driver1,mar 3/01/17,18:39,18:40,0h 01m,0.007026923921280365,Otro trabajo,1,9359JSNMI6186H01502,"12580, ES, 60,5 km nordeste Castellón De La Plana","12580, ES, 60,5 km nordeste Castellón De La Plana",40.413881,-0.404234,40.413881,-0.404151,"32,097","32,097"
driver1,mar 3/01/17,18:40,09:25,14h 45m,0.010582723983421492,Pausa,1,9359JSNMI6186H01502,"12580, ES, 60,5 km nordeste Castellón De La Plana","12580, ES, 60,5 km nordeste Castellón De La Plana",40.413835,-0.404151,40.413835,-0.404026,"32,097","32,097"
driver1,mie 4/01/17,09:25,09:29,0h 04m,0.10658920546439121,Conduciendo,1,9359JSNMI6186H01502,"12580, ES, 60,5 km nordeste Castellón De La Plana","12580, ES, 60,4 km nordeste Castellón De La Plana",40.413829,-0.404026,40.413829,-0.402767,"32,097","32,097"
driver1,mie 4/01/17,09:29,09:47,0h 18m,0.008974192214985091,Pausa,1,9359JSNMI6186H01502,"12580, ES, 60,4 km nordeste Castellón De La Plana","12580, ES, 60,4 km nordeste Castellón De La Plana",40.413518,-0.402767,40.413518,-0.402873,"32,097","32,097"
driver1,mie 4/01/17,09:47,09:50,0h 03m,0.00042331081514152203,Conduciendo,1,9359JSNMI6186H01502,"12580, ES, 60,4 km nordeste Castellón De La Plana","12580, ES, 60,4 km nordeste Castellón De La Plana",40.41354,-0.402873,40.41354,-0.402878,"32,097","32,097"
driver1,mie 4/01/17,09:50,09:54,0h 04m,0.0040637843084673575,Otro trabajo,1,9359JSNMI6186H01502,"12580, ES, 60,4 km nordeste Castellón De La Plana","12580, ES, 60,4 km nordeste Castellón De La Plana",40.413532,-0.402878,40.413532,-0.402926,"32,097","32,097"
driver1,mie 4/01/17,09:54,11:07,1h 13m,0.04504029884316702,Pausa,1,9359JSNMI6186H01502,"12580, ES, 60,4 km nordeste Castellón De La Plana","12580, ES, 60,3 km nordeste Castellón De La Plana",40.413498,-0.402926,40.413498,-0.402394,"32,097","32,097"
driver1,mie 4/01/17,11:07,15:22,4h 15m,209.74452901688912,Conduciendo,1,9359JSNMI6186H01502,"12580, ES, 60,3 km nordeste Castellón De La Plana","17700, FR, 33,7 km sur Perpignan",40.413445,-0.402394,40.413445,-2.879901,"32,097","32,464"
driver1,mie 4/01/17,15:22,16:49,1h 27m,0.06240692358247425,Pausa,1,9359JSNMI6186H01502,"17700, FR, 33,7 km sur Perpignan","17700, FR, 33,6 km sur Perpignan",42.398537,-2.879901,42.399662,-2.878824,"32,464","32,464"
driver1,mie 4/01/17,16:49,21:11,4h 22m,156.75537839112397,Conduciendo,1,9359JSNMI6186H01502,"17700, FR, 33,6 km sur Perpignan","Privas, 26270, FR, 24,7 km sur Valence",42.399497,-2.878824,42.399497,-4.787881,"32,464","32,826"
driver1,mie 4/01/17,21:11,21:13,0h 02m,0.0003160393268096476,Otro trabajo,1,9359JSNMI6186H01502,"Privas, 26270, FR, 24,7 km sur Valence","Privas, 26270, FR, 24,7 km sur Valence",44.720115,-4.787881,44.720115,-4.787885,"32,826","32,826"
driver1,mie 4/01/17,21:13,06:21,9h 08m,0.0003160390919307147,Pausa,1,9359JSNMI6186H01502,"Privas, 26270, FR, 24,7 km sur Valence","Privas, 26270, FR, 24,7 km sur Valence",44.720158,-4.787885,44.720158,-4.787881,"32,826","32,826"
driver1,jue 5/01/17,06:21,07:43,1h 22m,2.7929195805041664,Conduciendo,1,9359JSNMI6186H01502,"Privas, 26270, FR, 24,7 km sur Valence","Vénissieux, 69360, FR, 19,9 km sur Lyon",44.720093,-4.787881,44.720093,-4.82323,"32,826","32,936"
driver1,jue 5/01/17,07:43,08:02,0h 19m,0.04061943993696386,Pausa,1,9359JSNMI6186H01502,"Vénissieux, 69360, FR, 19,9 km sur Lyon","Vénissieux, 69360, FR, 19,9 km sur Lyon",45.588456,-4.82323,45.588456,-4.823752,"32,936","32,936"
driver1,jue 5/01/17,08:02,11:10,3h 08m,30.109063249400034,Conduciendo,1,9359JSNMI6186H01502,"Vénissieux, 69360, FR, 19,9 km sur Lyon","A31/E17/E21, 21260, FR, 31,4 km nordeste Dijon",45.588219,-4.823752,45.588219,-5.210682,"32,936","33,200"
driver1,jue 5/01/17,11:10,11:59,0h 49m,0.0022499583584812653,Pausa,1,9359JSNMI6186H01502,"A31/E17/E21, 21260, FR, 31,4 km nordeste Dijon","A31/E17/E21, 21260, FR, 31,4 km nordeste Dijon",47.586317,-5.210682,47.586317,-5.210652,"33,200","33,200"
