Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd,MilometerStart,MilometerEnd
driver171,mie 4/01/17,12:45,12:44,23h 59m,0.04437448265531638,Pausa,1,SB56ZFOMI5256H00909,"11206, Algeciras, ES","11206, Algeciras, ES",36.115291,-5.47446,36.115291,-5.473966,"23,449","23,449"
driver171,jue 5/01/17,12:44,12:55,0h 11m,3.219331933588075,Conduciendo,1,SB56ZFOMI5256H00909,"11206, Algeciras, ES","11207, Algeciras, GI, próximo a Gibraltar",36.114654,-5.473966,36.114654,-5.438127,"23,449","23,454"
driver171,jue 5/01/17,12:55,13:01,0h 06m,0.00017962924561152428,Otro trabajo,1,SB56ZFOMI5256H00909,"11207, Algeciras, GI, próximo a Gibraltar","11207, Algeciras, GI, próximo a Gibraltar",36.126012,-5.438127,36.126012,-5.438125,"23,454","23,454"
driver171,jue 5/01/17,13:01,13:06,0h 05m,0.00035925861953020594,Conduciendo,1,SB56ZFOMI5256H00909,"11207, Algeciras, GI, próximo a Gibraltar","11207, Algeciras, GI, próximo a Gibraltar",36.125984,-5.438125,36.125984,-5.438121,"23,454","23,455"
driver171,jue 5/01/17,13:06,13:08,0h 02m,0.030088399229541082,Otro trabajo,1,SB56ZFOMI5256H00909,"11207, Algeciras, GI, próximo a Gibraltar","11207, Algeciras, GI, próximo a Gibraltar",36.124706,-5.438121,36.124706,-5.438456,"23,455","23,455"
driver171,jue 5/01/17,13:08,13:19,0h 11m,3.2356276609910513,Conduciendo,1,SB56ZFOMI5256H00909,"11207, Algeciras, GI, próximo a Gibraltar","11206, Algeciras, ES",36.124656,-5.438456,36.124656,-5.474481,"23,455","23,460"
driver171,jue 5/01/17,13:19,13:36,0h 17m,0.00521001430262518,Otro trabajo,1,SB56ZFOMI5256H00909,"11206, Algeciras, ES","11206, Algeciras, ES",36.114465,-5.474481,36.114465,-5.474423,"23,460","23,460"
driver171,jue 5/01/17,13:36,13:39,0h 03m,0.049495115706214295,Conduciendo,1,SB56ZFOMI5256H00909,"11206, Algeciras, ES","11206, Algeciras, ES",36.114497,-5.474423,36.114497,-5.474974,"23,460","23,461"
driver171,jue 5/01/17,13:39,14:26,0h 47m,0.004221910722271813,Pausa,1,SB56ZFOMI5256H00909,"11206, Algeciras, ES","11206, Algeciras, ES",36.114417,-5.474974,36.114417,-5.474927,"23,461","23,461"
driver171,jue 5/01/17,14:26,18:42,4h 16m,247.25487504295415,Conduciendo,1,SB56ZFOMI5256H00909,"11206, Algeciras, ES","El Ejido, 04710, ES, 24,5 km sudoeste Almería",36.114354,-5.474927,36.114354,-2.722297,"23,461","23,790"
driver171,jue 5/01/17,18:42,18:58,0h 16m,0.05300842412029337,Pausa,1,SB56ZFOMI5256H00909,"El Ejido, 04710, ES, 24,5 km sudoeste Almería","El Ejido, 04710, ES, 24,5 km sudoeste Almería",36.754797,-2.722297,36.754797,-2.721702,"23,790","23,790"
driver171,jue 5/01/17,18:58,18:59,0h 01m,0.026548937255839074,Conduciendo,1,SB56ZFOMI5256H00909,"El Ejido, 04710, ES, 24,5 km sudoeste Almería","El Ejido, 04710, ES, 24,5 km sudoeste Almería",36.754276,-2.721702,36.754276,-2.722,"23,790","23,790"
driver171,jue 5/01/17,18:59,19:02,0h 03m,0.003919933726776624,Otro trabajo,1,SB56ZFOMI5256H00909,"El Ejido, 04710, ES, 24,5 km sudoeste Almería","El Ejido, 04710, ES, 24,5 km sudoeste Almería",36.755129,-2.722,36.755129,-2.721956,"23,790","23,790"
driver171,jue 5/01/17,19:02,19:03,0h 01m,0.008463490405273978,Conduciendo,1,SB56ZFOMI5256H00909,"El Ejido, 04710, ES, 24,5 km sudoeste Almería","El Ejido, 04710, ES, 24,5 km sudoeste Almería",36.755155,-2.721956,36.755155,-2.721861,"23,790","23,790"
driver171,jue 5/01/17,19:03,19:06,0h 03m,0.0002672686511036682,Otro trabajo,1,SB56ZFOMI5256H00909,"El Ejido, 04710, ES, 24,5 km sudoeste Almería","El Ejido, 04710, ES, 24,5 km sudoeste Almería",36.755002,-2.721861,36.755002,-2.721858,"23,790","23,790"
driver171,jue 5/01/17,19:06,20:01,0h 55m,0.005523558242958456,Pausa,1,SB56ZFOMI5256H00909,"El Ejido, 04710, ES, 24,5 km sudoeste Almería","El Ejido, 04710, ES, 24,5 km sudoeste Almería",36.754917,-2.721858,36.754917,-2.72192,"23,790","23,790"
driver171,jue 5/01/17,20:01,20:44,0h 43m,7.055522861871357,Conduciendo,1,SB56ZFOMI5256H00909,"El Ejido, 04710, ES, 24,5 km sudoeste Almería","04700, El Ejido, ES, 31,0 km oeste Almería",36.755143,-2.72192,36.755143,-2.801116,"23,790","23,807"
driver171,jue 5/01/17,20:44,09:02,12h 18m,0.031001165356779787,Pausa,1,SB56ZFOMI5256H00909,"04700, El Ejido, ES, 31,0 km oeste Almería","04700, El Ejido, ES, 31,0 km oeste Almería",36.759946,-2.801116,36.759946,-2.801464,"23,807","23,807"
driver171,vie 6/01/17,09:02,11:45,2h 43m,130.26354949029562,Conduciendo,1,SB56ZFOMI5256H00909,"04700, El Ejido, ES, 31,0 km oeste Almería","30892, ES, 20,9 km sudoeste Murcia",36.758811,-2.801464,36.758811,-1.339213,"23,807","24,039"
driver171,vie 6/01/17,11:45,20:52,9h 07m,0.0010530074267152305,Pausa,1,SB56ZFOMI5256H00909,"30892, ES, 20,9 km sudoeste Murcia","30892, ES, 20,9 km sudoeste Murcia",37.892893,-1.339213,37.892893,-1.339201,"24,039","24,039"
driver171,vie 6/01/17,20:52,20:53,0h 01m,0.0036855263439796717,Conduciendo,1,SB56ZFOMI5256H00909,"30892, ES, 20,9 km sudoeste Murcia","30892, ES, 20,9 km sudoeste Murcia",37.892886,-1.339201,37.892886,-1.339159,"24,039","24,039"
driver171,vie 6/01/17,20:53,21:00,0h 07m,0.000263252021169772,Otro trabajo,1,SB56ZFOMI5256H00909,"30892, ES, 20,9 km sudoeste Murcia","30892, ES, 20,9 km sudoeste Murcia",37.892847,-1.339159,37.892847,-1.339156,"24,039","24,039"
driver171,vie 6/01/17,21:00,23:59,2h 59m,65.81079727988875,Conduciendo,1,SB56ZFOMI5256H00909,"30892, ES, 20,9 km sudoeste Murcia","Torrent, 46370, ES, 18,2 km oeste Valencia",37.892861,-1.339156,37.892861,-0.589179,"24,039","24,295"
driver171,vie 6/01/17,23:59,00:38,0h 39m,0.039653820395268664,Pausa,1,SB56ZFOMI5256H00909,"Torrent, 46370, ES, 18,2 km oeste Valencia","Torrent, 46370, ES, 18,2 km oeste Valencia",39.475646,-0.589179,39.475788,-0.589196,"24,295","24,295"
driver171,sab 7/01/17,00:38,01:52,1h 14m,49.85356554500225,Conduciendo,1,SB56ZFOMI5256H00909,"Torrent, 46370, ES, 18,2 km oeste Valencia","12191, Castellón De La Plana, ES",39.475835,-0.589196,39.475835,-0.008358,"24,295","24,397"
driver171,sab 7/01/17,01:52,02:34,0h 42m,0.0008504889964437021,Pausa,1,SB56ZFOMI5256H00909,"12191, Castellón De La Plana, ES","12191, Castellón De La Plana, ES",40.105183,-0.008358,40.105183,-0.008348,"24,397","24,397"
driver171,sab 7/01/17,02:34,04:13,1h 39m,72.17597308251884,Conduciendo,1,SB56ZFOMI5256H00909,"12191, Castellón De La Plana, ES","43890, ES, 31,1 km sudoeste Reus",40.105175,-0.008348,40.105175,-0.856992,"24,397","24,535"
driver171,sab 7/01/17,04:13,04:36,0h 23m,0.0022675827118917597,Pausa,1,SB56ZFOMI5256H00909,"43890, ES, 31,1 km sudoeste Reus","43890, ES, 31,1 km sudoeste Reus",40.949183,-0.856992,40.949183,-0.857019,"24,535","24,535"
driver171,sab 7/01/17,04:36,06:25,1h 49m,94.23729058249575,Conduciendo,1,SB56ZFOMI5256H00909,"43890, ES, 31,1 km sudoeste Reus","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",40.949203,-0.857019,40.949203,-1.979106,"24,535","24,677"
driver171,sab 7/01/17,06:25,06:32,0h 07m,0.0018330803945990606,Pausa,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",41.467516,-1.979106,41.467516,-1.979084,"24,677","24,677"
driver171,sab 7/01/17,06:32,06:33,0h 01m,0.032995428781931666,Conduciendo,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",41.467552,-1.979084,41.467552,-1.978688,"24,677","24,677"
driver171,sab 7/01/17,06:33,06:37,0h 04m,0.002582959709067995,Otro trabajo,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",41.467948,-1.978688,41.467948,-1.978719,"24,677","24,677"
driver171,sab 7/01/17,06:37,06:54,0h 17m,0.0011664984189127877,Pausa,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",41.467921,-1.978719,41.467921,-1.978705,"24,677","24,677"
driver171,sab 7/01/17,06:54,06:55,0h 01m,0.0006665705250956652,Otro trabajo,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",41.467921,-1.978705,41.467921,-1.978713,"24,677","24,677"
driver171,sab 7/01/17,06:55,06:57,0h 02m,0.007665565294987204,Conduciendo,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",41.467885,-1.978713,41.467885,-1.978621,"24,677","24,677"
driver171,sab 7/01/17,06:57,06:59,0h 02m,0.0006665693838862069,Otro trabajo,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",41.468032,-1.978621,41.468032,-1.978629,"24,677","24,677"
driver171,sab 7/01/17,06:59,09:24,74h 25m,0.007915518881060254,Pausa,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",41.467971,-1.978629,41.467971,-1.978534,"24,677","24,677"
driver171,mar 10/01/17,09:24,09:26,0h 02m,0.08765384153300895,Conduciendo,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",41.468056,-1.978534,41.468056,-1.979586,"24,677","24,678"
driver171,mar 10/01/17,09:26,09:47,0h 21m,0.06615829398592266,Otro trabajo,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES",41.466775,-1.979586,41.466775,-1.978792,"24,678","24,678"
driver171,mar 10/01/17,09:47,11:52,2h 05m,75.31054639075228,Conduciendo,1,SB56ZFOMI5256H00909,"Ap7/E15/E90 Autopista De La Mediterrània, 08755, Terrassa, ES","17700, FR, 33,7 km sur Perpignan",41.46792,-1.978792,41.46792,-2.882653,"24,678","24,856"
driver171,mar 10/01/17,11:52,11:55,0h 03m,0.0010674876163736132,Otro trabajo,1,SB56ZFOMI5256H00909,"17700, FR, 33,7 km sur Perpignan","17700, FR, 33,7 km sur Perpignan",42.398514,-2.882653,42.398514,-2.88264,"24,856","24,856"
driver171,mar 10/01/17,11:55,11:56,0h 01m,0.02874002052342116,Conduciendo,1,SB56ZFOMI5256H00909,"17700, FR, 33,7 km sur Perpignan","17700, FR, 33,7 km sur Perpignan",42.398581,-2.88264,42.398581,-2.88299,"24,856","24,856"
driver171,mar 10/01/17,11:56,12:46,0h 50m,0.0032845758154993847,Pausa,1,SB56ZFOMI5256H00909,"17700, FR, 33,7 km sur Perpignan","17700, FR, 33,7 km sur Perpignan",42.398542,-2.88299,42.398542,-2.88295,"24,856","24,856"
driver171,mar 10/01/17,12:46,16:03,3h 17m,149.21924459400842,Conduciendo,1,SB56ZFOMI5256H00909,"17700, FR, 33,7 km sur Perpignan","A9/E15 La Languedocienne, 30126, Avignon, FR",42.398425,-2.88295,42.398425,-4.700193,"24,856","25,130"
driver171,mar 10/01/17,16:03,16:49,0h 46m,0.0024796611405839913,Pausa,1,SB56ZFOMI5256H00909,"A9/E15 La Languedocienne, 30126, Avignon, FR","A9/E15 La Languedocienne, 30126, Avignon, FR",43.998418,-4.700193,43.998418,-4.700162,"25,130","25,130"
driver171,mar 10/01/17,16:49,19:22,2h 33m,10.180208323004832,Conduciendo,1,SB56ZFOMI5256H00909,"A9/E15 La Languedocienne, 30126, Avignon, FR","Vénissieux, 69360, FR, 19,5 km sur Lyon",43.998415,-4.700162,43.998415,-4.827432,"25,130","25,336"
driver171,mar 10/01/17,19:22,19:28,0h 06m,0.06925095959777258,Otro trabajo,1,SB56ZFOMI5256H00909,"Vénissieux, 69360, FR, 19,5 km sur Lyon","Vénissieux, 69360, FR, 19,5 km sur Lyon",45.592028,-4.827432,45.592028,-4.826542,"25,336","25,336"
driver171,mar 10/01/17,19:28,19:29,0h 01m,0.010971196570485571,Conduciendo,1,SB56ZFOMI5256H00909,"Vénissieux, 69360, FR, 19,5 km sur Lyon","Vénissieux, 69360, FR, 19,5 km sur Lyon",45.592145,-4.826542,45.592145,-4.826683,"25,336","25,336"
driver171,mar 10/01/17,19:29,19:33,0h 04m,0.0005446701582024562,Otro trabajo,1,SB56ZFOMI5256H00909,"Vénissieux, 69360, FR, 19,5 km sur Lyon","Vénissieux, 69360, FR, 19,5 km sur Lyon",45.59206,-4.826683,45.59206,-4.82669,"25,336","25,336"
driver171,mar 10/01/17,19:33,19:40,0h 07m,0.0007002902283781299,Pausa,1,SB56ZFOMI5256H00909,"Vénissieux, 69360, FR, 19,5 km sur Lyon","Vénissieux, 69360, FR, 19,5 km sur Lyon",45.592058,-4.82669,45.592058,-4.826681,"25,336","25,336"
driver171,mar 10/01/17,19:40,19:41,0h 01m,0.024743582336946516,Conduciendo,1,SB56ZFOMI5256H00909,"Vénissieux, 69360, FR, 19,5 km sur Lyon","Vénissieux, 69360, FR, 19,5 km sur Lyon",45.592071,-4.826681,45.592071,-4.826999,"25,336","25,336"
driver171,mar 10/01/17,19:41,19:52,0h 11m,0.0016340110277123664,Otro trabajo,1,SB56ZFOMI5256H00909,"Vénissieux, 69360, FR, 19,5 km sur Lyon","Vénissieux, 69360, FR, 19,5 km sur Lyon",45.592041,-4.826999,45.592041,-4.826978,"25,336","25,336"
