Driver,DateStart,HourStart,HourEnd,Duration,Distance,Status,Profession,Vehicle,PlaceStart,PlaceEnd,LatitudeStart,LongitudeStart,LatitudeEnd,LongitudeEnd(WRONG),MilometerStart,MilometerEnd
driver268,mie 4/01/17,08:02,17:10,9h 08m,0.0,Pausa,1,SB54RTO MD2026Q01256,"Béziers, 34350, FR, 63,9 km sudoeste Montpellier","Béziers, 34350, FR, 64,0 km sudoeste Montpellier",43295670.0,3213950.0,43295670.0,43295185.0,"166,609","166,609"
driver268,mie 4/01/17,17:10,17:12,0h 02m,0.1,Otro trabajo,1,SB54RTO MD2026Q01256,"Béziers, 34350, FR, 64,0 km sudoeste Montpellier","Béziers, 34350, FR, 64,1 km sudoeste Montpellier",43295185.0,3214345.0,43295185.0,43295119.0,"166,609","166,609"
driver268,mie 4/01/17,17:12,17:14,0h 02m,0.4,Conduciendo,1,SB54RTO MD2026Q01256,"Béziers, 34350, FR, 64,1 km sudoeste Montpellier","Béziers, 34350, FR, 64,1 km sudoeste Montpellier",43295119.0,3212626.0,43295119.0,43294746.0,"166,609","166,610"
driver268,mie 4/01/17,17:14,17:16,0h 02m,0.0,Otro trabajo,1,SB54RTO MD2026Q01256,"Béziers, 34350, FR, 64,1 km sudoeste Montpellier","Béziers, 34350, FR, 64,1 km sudoeste Montpellier",43294746.0,3213026.0,43294746.0,43294718.0,"166,610","166,610"
driver268,mie 4/01/17,17:16,19:43,2h 27m,171.7,Conduciendo,1,SB54RTO MD2026Q01256,"Béziers, 34350, FR, 64,1 km sudoeste Montpellier","30290, LaudunL'ardoise, FR, 19,6 km noroeste Avignon",43294718.0,3213012.0,43294718.0,44106320.0,"166,610","166,781"
driver268,mie 4/01/17,19:43,19:48,0h 05m,0.1,Otro trabajo,1,SB54RTO MD2026Q01256,"30290, LaudunL'ardoise, FR, 19,6 km noroeste Avignon","30290, LaudunL'ardoise, FR, 19,6 km noroeste Avignon",44106320.0,4695207.0,44106320.0,44106209.0,"166,781","166,782"
driver268,mie 4/01/17,19:48,19:54,0h 06m,1.4,Conduciendo,1,SB54RTO MD2026Q01256,"30290, LaudunL'ardoise, FR, 19,6 km noroeste Avignon","30290, LaudunL'ardoise, FR, 19,4 km noroeste Avignon",44106209.0,4694349.0,44106209.0,44105284.0,"166,782","166,783"
driver268,mie 4/01/17,19:54,19:56,0h 02m,0.0,Otro trabajo,1,SB54RTO MD2026Q01256,"30290, LaudunL'ardoise, FR, 19,4 km noroeste Avignon","30290, LaudunL'ardoise, FR, 19,5 km noroeste Avignon",44105284.0,4697140.0,44105284.0,44105305.0,"166,783","166,783"
driver268,mie 4/01/17,19:56,20:01,0h 05m,0.9,Conduciendo,1,SB54RTO MD2026Q01256,"30290, LaudunL'ardoise, FR, 19,5 km noroeste Avignon","30290, LaudunL'ardoise, FR, 19,0 km noroeste Avignon",44105305.0,4696989.0,44105305.0,44102347.0,"166,783","166,784"
driver268,mie 4/01/17,20:01,20:04,0h 03m,0.0,Otro trabajo,1,SB54RTO MD2026Q01256,"30290, LaudunL'ardoise, FR, 19,0 km noroeste Avignon","30290, LaudunL'ardoise, FR, 19,0 km noroeste Avignon",44102347.0,4702701.0,44102347.0,44102365.0,"166,784","166,784"
