Driver,Activity,Day,DayType,Sequence,BreakType,Token,Legal,Cluster
driver3,Other,1.0,ndd,unique,uninterrupted,A,1,2
driver3,Driving,1.0,ndd,unique,uninterrupted,A,1,2
driver3,Break,1.0,ndd,unique,uninterrupted,B_T0,1,2
driver3,Driving,1.0,ndd,unique,uninterrupted,A,1,2
driver3,Other,1.0,ndd,unique,uninterrupted,A,1,2
driver3,Driving,1.0,ndd,unique,uninterrupted,A,1,2
driver3,Break,1.0,ndd,unique,uninterrupted,DR_T1,1,2
driver3,Driving,2.0,edd,first,split_1,A,1,1
driver3,Break,2.0,edd,first,split_1,B_T2,1,1
driver3,Driving,2.0,edd,first,split_2,A,1,1
driver3,Other,2.0,edd,first,split_2,A,1,1
driver3,Driving,2.0,edd,first,split_2,A,1,1
driver3,Other,2.0,edd,first,split_2,A,1,1
driver3,Break,2.0,edd,first,split_2,B_T3,1,1
driver3,Other,2.0,edd,second,split_1,A,1,1
driver3,Driving,2.0,edd,second,split_1,A,1,1
driver3,Other,2.0,edd,second,split_1,A,1,1
driver3,Break,2.0,edd,second,split_1,B_T0,1,1
driver3,Driving,2.0,edd,second,split_1,A,1,1
driver3,Break,2.0,edd,second,split_1,B_T2,1,1
driver3,Driving,2.0,edd,second,split_2,A,1,1
driver3,Other,2.0,edd,second,split_2,A,1,1
driver3,Driving,2.0,edd,second,split_2,A,1,1
driver3,Other,2.0,edd,second,split_2,A,1,1
driver3,Driving,2.0,edd,second,split_2,A,1,1
driver3,Other,2.0,edd,second,split_2,A,1,1
driver3,Driving,2.0,edd,second,split_2,A,1,1
driver3,Break,2.0,edd,second,split_2,B_T3,1,1
driver3,Driving,2.0,edd,third,uninterrupted,A,1,1
driver3,Other,2.0,edd,third,uninterrupted,A,1,1
driver3,Driving,2.0,edd,third,uninterrupted,A,1,1
driver3,Other,2.0,edd,third,uninterrupted,A,1,1
driver3,Break,2.0,edd,third,uninterrupted,DR_T1,1,1
driver3,Driving,3.0,ndd,first,split_1,A,1,6
driver3,Other,3.0,ndd,first,split_1,A,1,6
driver3,Driving,3.0,ndd,first,split_1,A,1,6
driver3,Break,3.0,ndd,first,split_1,B_T2,1,6
driver3,Driving,3.0,ndd,first,split_2,A,1,6
driver3,Break,3.0,ndd,first,split_2,B_T0,1,6
driver3,Driving,3.0,ndd,first,split_2,A,1,6
driver3,Break,3.0,ndd,first,split_2,B_T0,1,6
driver3,Driving,3.0,ndd,first,split_2,A,1,6
driver3,Other,3.0,ndd,first,split_2,A,1,6
driver3,Break,3.0,ndd,first,split_2,B_T3,1,6
driver3,Driving,3.0,ndd,second,split_1,A,1,6
driver3,Break,3.0,ndd,second,split_1,B_T2,1,6
driver3,Driving,3.0,ndd,second,split_2,A,1,6
driver3,Break,3.0,ndd,second,split_2,DR_T2,1,6
driver3,Driving,4.0,none,none,uninterrupted,A,0,18
driver3,Break,4.0,none,none,uninterrupted,B_T0,0,18
driver3,Driving,4.0,none,none,uninterrupted,A,0,18
driver3,Break,4.0,none,none,uninterrupted,B_T0,0,18
driver3,Driving,4.0,none,none,uninterrupted,A,0,18
driver3,Break,4.0,none,none,uninterrupted,B_T0,0,18
driver3,Driving,4.0,none,none,uninterrupted,A,0,18
