Driver,Duration,Activity,Day,DayType,Sequence,BreakType,Token,Legal,Cluster
driver5,522,Break,1,ndd,unique,uninterrupted,DR_T3,Yes,24
driver5,11,Driving,2,ndd,first,split_1,A,Yes,17
driver5,7,Other,2,ndd,first,split_1,A,Yes,17
driver5,8,Driving,2,ndd,first,split_1,A,Yes,17
driver5,12,Break,2,ndd,first,split_1,B_T0,Yes,17
driver5,4,Driving,2,ndd,first,split_1,A,Yes,17
driver5,4,Other,2,ndd,first,split_1,A,Yes,17
driver5,37,Break,2,ndd,first,split_1,B_T2,Yes,17
driver5,5,Other,2,ndd,first,split_2,A,Yes,17
driver5,1,Driving,2,ndd,first,split_2,A,Yes,17
driver5,6,Break,2,ndd,first,split_2,B_T0,Yes,17
driver5,6,Driving,2,ndd,first,split_2,A,Yes,17
driver5,3,Other,2,ndd,first,split_2,A,Yes,17
driver5,33,Break,2,ndd,first,split_2,B_T3,Yes,17
driver5,6,Driving,2,ndd,second,uninterrupted,A,Yes,17
driver5,812,Break,2,ndd,second,uninterrupted,DR_T4,Yes,17
driver5,6,Driving,3,ndd,unique,uninterrupted,A,Yes,2
driver5,9,Break,3,ndd,unique,uninterrupted,B_T0,Yes,2
driver5,3,Driving,3,ndd,unique,uninterrupted,A,Yes,2
driver5,3,Break,3,ndd,unique,uninterrupted,B_T0,Yes,2
driver5,2,Driving,3,ndd,unique,uninterrupted,A,Yes,2
driver5,2,Other,3,ndd,unique,uninterrupted,A,Yes,2
driver5,370,Break,3,ndd,unique,uninterrupted,DR_T3,Yes,2
driver5,8,Driving,4,ndd,first,uninterrupted,A,Yes,15
driver5,170,Break,4,ndd,first,uninterrupted,B_T1,Yes,15
driver5,252,Driving,4,ndd,second,uninterrupted,A,Yes,15
driver5,546,Break,4,ndd,second,uninterrupted,DR_T4,Yes,15
driver5,35,Driving,5,none,none,uninterrupted,A,No,4
driver5,2,Other,5,none,none,uninterrupted,A,No,4
driver5,3,Driving,5,none,none,uninterrupted,A,No,4
driver5,11,Break,5,none,none,uninterrupted,B_T0,No,4
driver5,2,Driving,5,none,none,uninterrupted,A,No,4
driver5,8,Break,5,none,none,uninterrupted,B_T0,No,4
driver5,225,Driving,5,none,none,uninterrupted,A,No,4
driver5,58,Break,5,none,none,uninterrupted,B_T1,No,4
driver5,38,Driving,5,none,none,none,A,No,4
driver5,2,Other,5,none,none,none,A,No,4
driver5,13,Driving,5,none,none,none,A,No,4
driver5,17,Break,5,none,none,none,none,No,4
driver5,1,Driving,5,ndd,unique,split_1,A,Yes,4
driver5,6,Other,5,ndd,unique,split_1,A,Yes,4
driver5,14,Break,5,ndd,unique,split_1,B_T0,Yes,4
driver5,16,Driving,5,ndd,unique,split_1,A,Yes,4
driver5,26,Break,5,ndd,unique,split_1,B_T2,Yes,4
driver5,30,Driving,5,ndd,unique,split_2,A,Yes,4
driver5,5,Other,5,ndd,unique,split_2,A,Yes,4
driver5,850,Break,5,ndd,unique,split_2,DR_T1,Yes,4
driver5,8,Other,6,edd,first,uninterrupted,A,Yes,1
driver5,8,Break,6,edd,first,uninterrupted,B_T0,Yes,1
driver5,62,Driving,6,edd,first,uninterrupted,A,Yes,1
driver5,2,Other,6,edd,first,uninterrupted,A,Yes,1
driver5,202,Driving,6,edd,first,uninterrupted,A,Yes,1
driver5,46,Break,6,edd,first,uninterrupted,B_T1,Yes,1
driver5,41,Driving,6,edd,second,split_1,A,Yes,1
driver5,19,Break,6,edd,second,split_1,B_T2,Yes,1
driver5,16,Driving,6,edd,second,split_2,A,Yes,1
driver5,9,Break,6,edd,second,split_2,B_T0,Yes,1
driver5,89,Driving,6,edd,second,split_2,A,Yes,1
driver5,31,Break,6,edd,second,split_2,B_T3,Yes,1
driver5,157,Driving,6,edd,third,uninterrupted,A,Yes,1
driver5,10,Other,6,edd,third,uninterrupted,A,Yes,1
driver5,1,Driving,6,edd,third,uninterrupted,A,Yes,1
driver5,2105,Break,6,edd,third,uninterrupted,WR_T2,Yes,1
driver5,170,Driving,7,edd,first,split_1,A,Yes,16
driver5,28,Break,7,edd,first,split_1,B_T2,Yes,16
driver5,68,Driving,7,edd,first,split_2,A,Yes,16
driver5,34,Break,7,edd,first,split_2,B_T3,Yes,16
driver5,180,Driving,7,edd,second,uninterrupted,A,Yes,16
driver5,46,Break,7,edd,second,uninterrupted,B_T1,Yes,16
driver5,178,Driving,7,edd,third,uninterrupted,A,Yes,16
driver5,586,Break,7,edd,third,uninterrupted,DR_T2,Yes,16
driver5,64,Driving,8,ndd,first,split_1,A,Yes,6
driver5,23,Break,8,ndd,first,split_1,B_T2,Yes,6
driver5,94,Driving,8,ndd,first,split_2,A,Yes,6
driver5,2,Other,8,ndd,first,split_2,A,Yes,6
driver5,78,Driving,8,ndd,first,split_2,A,Yes,6
driver5,37,Break,8,ndd,first,split_2,B_T3,Yes,6
driver5,227,Driving,8,ndd,second,split_1,A,Yes,6
driver5,46,Break,8,ndd,second,split_1,B_T2,Yes,6
driver5,63,Driving,8,ndd,second,split_2,A,Yes,6
driver5,3,Break,8,ndd,second,split_2,B_T0,Yes,6
driver5,2,Driving,8,ndd,second,split_2,A,Yes,6
driver5,940,Break,8,ndd,second,split_2,DR_T1,Yes,6
driver5,3,Driving,9,edd,first,uninterrupted,A,Yes,22
driver5,83,Break,9,edd,first,uninterrupted,B_T1,Yes,22
driver5,5,Driving,9,edd,second,split_1,A,Yes,22
driver5,23,Break,9,edd,second,split_1,B_T2,Yes,22
driver5,30,Driving,9,edd,second,split_2,A,Yes,22
driver5,4,Other,9,edd,second,split_2,A,Yes,22
driver5,11,Driving,9,edd,second,split_2,A,Yes,22
driver5,3,Other,9,edd,second,split_2,A,Yes,22
