Driver,Duration,Activity,Week,Day,DayType,Sequence,BreakType,Token,Legal,Infraction
driver168,222,Driving,1.0,1,ndd,first,uninterrupted,A,1,no
driver168,48,Break,1.0,1,ndd,first,uninterrupted,B_T1,1,no
driver168,178,Driving,1.0,1,ndd,second,uninterrupted,A,1,no
driver168,4,Other,1.0,1,ndd,second,uninterrupted,A,1,no
driver168,2,Driving,1.0,1,ndd,second,uninterrupted,A,1,no
driver168,6,Other,1.0,1,ndd,second,uninterrupted,A,1,no
driver168,1,Driving,1.0,1,ndd,second,uninterrupted,A,1,no
driver168,4,Other,1.0,1,ndd,second,uninterrupted,A,1,no
driver168,2,Driving,1.0,1,ndd,second,uninterrupted,A,1,no
driver168,252,Break,1.0,1,ndd,second,uninterrupted,DR_T3,1,no
driver168,3,Driving,1.0,2,ndd,unique,split_1,A,1,no
driver168,2,Other,1.0,2,ndd,unique,split_1,A,1,no
driver168,33,Break,1.0,2,ndd,unique,split_1,B_T2,1,no
driver168,2,Other,1.0,2,ndd,unique,split_2,A,1,no
driver168,32,Driving,1.0,2,ndd,unique,split_2,A,1,no
driver168,8,Break,1.0,2,ndd,unique,split_2,B_T0,1,no
driver168,2,Driving,1.0,2,ndd,unique,split_2,A,1,no
driver168,12,Break,1.0,2,ndd,unique,split_2,B_T0,1,no
driver168,50,Driving,1.0,2,ndd,unique,split_2,A,1,no
driver168,4,Other,1.0,2,ndd,unique,split_2,A,1,no
driver168,992,Break,1.0,2,ndd,unique,split_2,DR_T4,1,no
driver168,72,Driving,1.0,3,none,none,none,A,0,unidentified
driver168,11,Break,1.0,3,none,none,none,B_T0,0,unidentified
driver168,2,Driving,1.0,3,none,none,none,A,0,unidentified
driver168,1,Other,1.0,3,none,none,none,A,0,unidentified
driver168,15,Break,1.0,3,none,none,none,none,0,unidentified
driver168,4,Other,1.0,3,none,none,none,A,0,unidentified
driver168,19,Break,1.0,3,none,none,none,none,0,unidentified
driver168,1,Driving,1.0,3,ndd,first,split_1,A,1,no
driver168,15,Break,1.0,3,ndd,first,split_1,B_T2,1,no
driver168,1,Driving,1.0,3,ndd,first,split_2,A,1,no
driver168,2,Other,1.0,3,ndd,first,split_2,A,1,no
driver168,1,Driving,1.0,3,ndd,first,split_2,A,1,no
driver168,3,Other,1.0,3,ndd,first,split_2,A,1,no
driver168,1,Driving,1.0,3,ndd,first,split_2,A,1,no
driver168,3,Other,1.0,3,ndd,first,split_2,A,1,no
driver168,48,Break,1.0,3,ndd,first,split_2,B_T3,1,no
driver168,2,Driving,1.0,3,ndd,second,split_1,A,1,no
driver168,21,Other,1.0,3,ndd,second,split_1,A,1,no
driver168,57,Driving,1.0,3,ndd,second,split_1,A,1,no
driver168,3,Other,1.0,3,ndd,second,split_1,A,1,no
