driver1	15/01/2017 21:48	15/01/2017 22:23	35.000000	Break	1.000000	1.000000	ndd	first	split_1	B_T2	yes
driver1	15/01/2017 22:23	16/01/2017 00:24	121.000000	Driving	1.000000	1.000000	ndd	first	split_2	A	yes
driver1	16/01/2017 00:24	16/01/2017 01:09	45.000000	Sug-Break	1.000000	1.000000	ndd	first	split_2	B_T3	yes
driver1	16/01/2017 01:09	16/01/2017 01:12	3.000000	Sug-Load	1.000000	1.000000	ndd	second	uninterrupted	A	yes	box7
driver1	16/01/2017 01:12	16/01/2017 01:15	3.000000	Sug-Load	1.000000	1.000000	ndd	second	uninterrupted	A	yes	box8
driver1	16/01/2017 01:15	16/01/2017 01:18	3.000000	Sug-Load	1.000000	1.000000	ndd	second	uninterrupted	A	yes	box9
driver1	16/01/2017 01:18	16/01/2017 02:34	76.000000	Sug-Driving	1.000000	1.000000	ndd	second	uninterrupted	A	yes	sevilla cadiz
driver1	16/01/2017 02:34	16/01/2017 02:37	3.000000	Sug-Unload	1.000000	1.000000	ndd	second	uninterrupted	A	yes	box7
driver1	16/01/2017 02:37	16/01/2017 02:40	3.000000	Sug-Unload	1.000000	1.000000	ndd	second	uninterrupted	A	yes	box9
driver1	16/01/2017 02:40	16/01/2017 02:43	3.000000	Sug-Unload	1.000000	1.000000	ndd	second	uninterrupted	A	yes	box8
driver1	16/01/2017 02:43	16/01/2017 02:46	3.000000	Sug-Load	1.000000	1.000000	ndd	second	uninterrupted	A	yes	box4
driver1	16/01/2017 02:46	16/01/2017 02:49	3.000000	Sug-Load	1.000000	1.000000	ndd	second	uninterrupted	A	yes	box5
driver1	16/01/2017 02:49	16/01/2017 02:52	3.000000	Sug-Load	1.000000	1.000000	ndd	second	uninterrupted	A	yes	box6
driver1	16/01/2017 02:52	16/01/2017 03:02	10.000000	Sug-Refuel	1.000000	1.000000	ndd	second	uninterrupted	A	yes
driver1	16/01/2017 03:02	16/01/2017 06:16	194.000000	Sug-Driving	1.000000	1.000000	ndd	second	uninterrupted	A	yes	cadiz jaen
driver1	16/01/2017 06:16	16/01/2017 17:16	660.000000	Sug-Break	1.000000	1.000000	ndd	second	uninterrupted	DR_T1	yes
#-----------------------
# NEW DAY
#-----------------------
#Driver	DateTimeStart	DateTimeEnd	Duration(min)	Activity	Week	Day	DayType	Sequence	BreakType	Token	Legal
driver1	16/01/2017 17:16	16/01/2017 17:20	4.000000	Sug-Driving	1.000000	2.000000	ndd	first	uninterrupted	A	yes	cadiz jaen
